Ikan Bandeng,Ikan Tongkol,Ikan Kembung,Provinsi
37.06603,37.59049,49.33496,Aceh
37.06603,37.59049,49.33496,Sumatera Utara
35.271324,38.09616,44.099857,Sumatera Barat
39.86327,43.0828,60.77227,Riau
43.20801,37.46021,44.60062,Jambi
29.265484,33.106888,38.709927,Sumatera Selatan
28.95647,28.855896,38.515324,Bengkulu
45.67862,32.273403,41.3344,Lampung
30.657337,31.240261,36.19074,Kepulauan Bangka Belitung
35.230156,36.12673,58.287582,Kepulauan Riau
37.86242,24.762754,37.412178,DKI Jakarta
39.505665,35.871944,36.389874,Jawa Barat
37.559143,36.766083,42.36059,Jawa Tengah
33.705242,33.813404,33.66169,D.I Yogyakarta
36.87001,36.79504,40.12636,Jawa Timur
32.518303,32.722446,33.26642,Banten
35.537247,34.90558,37.76697,Bali
34.342525,34.54587,37.80573,Nusa Tenggara Barat
36.601917,35.43461,44.902046,Nusa Tenggara Timur
48.50662,46.561115,43.156937,Kalimantan Barat
32.554565,35.749,39.825516,Kalimantan Tengah
31.653616,41.761223,45.772655,Kalimantan Selatan
29.619297,35.690895,37.526623,Kalimantan Timur
33.17393,38.60412,38.00616,Kalimantan Utara
29.83701,33.574566,35.560707,Sulawesi Utara
44.43933,38.15529,32.47839,Sulawesi Tengah
28.656858,36.177227,31.45494,Sulawesi Selatan
35.21573,40.42353,44.20539,Sulawesi Tenggara
34.40311,23.480125,39.014187,Gorontalo
33.96624,30.49572,30.367811,Sulawesi Barat
33.37253,37.618,44.77728,Maluku
34.904415,41.277645,27.85796,Maluku Utara
47.93114,34.40734,37.601646,Papua Barat
41.989285,49.251904,52.76869,Papua
